Date,Chain,Postcode,Category,Total Units,Sale Price,Cost Price
1/1/16,Ready Wear,2650,Home,175,2.78,6.35
1/1/16,Ready Wear,3550,Groceries,908,0.61,0.93
1/1/16,Ready Wear,4053,Home,1,500,750
1/1/16,Ready Wear,3076,Groceries,714,1.14,1.46
1/1/16,Ready Wear,2031,Groceries,65,0.48,3.9
1/1/16,Ready Wear,3066,Home,87,3.66,6.19
1/1/16,Ready Wear,2067,Home,92,5.21,7.34
1/1/16,Ready Wear,2800,Home,21,4.49,13.55
1/1/16,Ready Wear,2560,Home,127,4.19,5.59
1/1/16,Ready Wear,3076,Home,77,4.73,6.99
1/1/16,Ready Wear,800,Womens,2,10,18.53
1/1/16,Ready Wear,2031,Groceries,898,1.2,1.39
1/1/16,Ready Wear,4068,Home,170,4.15,5.13
1/1/16,Ready Wear,800,Womens,50,1.9,1.92
1/1/16,Ready Wear,4068,Womens,166,2.51,3.43
1/1/16,Ready Wear,2350,Home,213,2.37,3.07
1/1/16,Ready Wear,3353,Home,116,4.62,5.8
1/1/16,Ready Wear,3550,Groceries,233,0.94,1.52
1/1/16,Ready Wear,3018,Groceries,283,1.17,1.64
1/1/16,Ready Wear,800,Womens,3,7,6.75
1/1/16,Ready Wear,2020,Home,81,6.67,8.17
1/1/16,Ready Wear,800,Womens,2,10,7.51
1/1/16,Ready Wear,3550,Kids,65,2.19,3.92
1/1/16,Ready Wear,3066,Home,934,1.87,1.99
1/1/16,Ready Wear,3148,Home,69,2.12,3.67
1/1/16,Ready Wear,3550,Accessories,40,11.32,13.78
1/1/16,Ready Wear,6330,Home,143,4.81,5.45
1/1/16,Ready Wear,2480,Juniors,18,5.56,10.51
1/1/16,Ready Wear,800,Womens,15,3.93,3.43
1/1/16,Ready Wear,3353,Womens,19,8.1,12.63
1/1/16,Ready Wear,3551,Home,83,7.5,8.47
1/1/16,Ready Wear,800,Womens,99,4.36,3.21
1/1/16,Ready Wear,4551,Accessories,57,6.34,7.64
1/1/16,Ready Wear,2830,Home,102,8.64,9.35
1/1/16,Ready Wear,2480,Home,15,9.7,14.53
1/1/16,Ready Wear,800,Womens,133,5.36,3.34
1/1/16,Ready Wear,800,Womens,748,6.97,5.4
1/1/16,Ready Wear,800,Mens,7,1,0.35
1/1/16,Bellings,6450,Accessories,88,3.64,4.35
1/1/16,Ready Wear,4119,Hosiery,123,0.5,1
1/1/16,Ready Wear,800,Mens,3,14.99,5
1/1/16,Ready Wear,800,Mens,93,3.29,2.52
1/1/16,Ready Wear,2031,Home,52,1.31,2.41
1/1/16,Ready Wear,2067,Juniors,19,7.89,10.89
1/1/16,Ready Wear,800,Mens,34,4.64,2.29
1/1/16,Ready Wear,3148,Groceries,204,1.36,1.63
1/1/16,Ready Wear,2795,Juniors,16,6.06,9.49
1/1/16,Ready Wear,3018,Kids,68,1.95,2.75
1/1/16,Ready Wear,800,Mens,33,7.17,2.82
1/1/16,Ready Wear,6330,Hosiery,103,0.5,1
